combination,silhouette_score,calinski_harabasz_score,davies_bouldin_score,total_processing_time,flag_generation_time,clustering_time,processing_speed_docs_per_sec,flag_generation_speed,clustering_speed,memory_usage_mb,peak_memory_mb,memory_per_document_kb,cpu_usage_percent,time_complexity_per_doc,time_complexity_per_feature,estimated_time_1k_docs,estimated_time_10k_docs,feature_matrix_size_mb,memory_per_feature_kb,throughput_docs_per_minute,throughput_features_per_second,flag_variance,flag_mean,flag_std,flag_coefficient_variation,feature_stability_avg,feature_stability_std,most_stable_feature_std,least_stable_feature_std,cluster_count_stability,outlier_ratio,implementation_complexity,weight_complexity,weight_entropy,dominant_weight_ratio,weight_balance_score,flag_sparsity,flag_density,effective_dimension_ratio,cost_per_document,productivity_score,clustering_coverage,processing_efficiency,time_saving_ratio,automation_benefit_score,scalability_readiness
best_2flags,0.715697737675043,141.62564805096096,0.8418362808979548,13.480034351348877,13.45767331123352,0.022361040115356445,14.169103358470865,14.192646498601405,8541.642026250413,35.44921875,19.284896850585938,190.0523560209424,59.199999999999996,0.07057609608036061,1.3480034351348877,70.57609608036061,705.7609608036062,0.0145721435546875,0.0078125,850.1462015082519,141.69103358470866,0.06325106818208842,0.13493550618934885,0.2514976504504335,1.8638358347221078,0.2259122485986656,0.07926465692247499,0.11466279278689986,0.3305274040762865,0.22905385181676446,0.0,2,2,0.4713934668100945,0.82,0.3600000127999998,0.25130890052356025,0.7486910994764397,1.0,0.07057609608036061,14.169103358470865,0.02617801047120419,2.833820671694173,0.0,0,1.0
stable_2flags,0.3819198578530892,103.57209158301528,0.9069228920770435,12.020093202590942,12.007743120193481,0.012350082397460938,15.890059817408885,15.906402900874383,15465.48386100386,21.76171875,19.26671028137207,116.67015706806282,37.25,0.0629324251444552,1.2020093202590942,62.932425144455195,629.324251444552,0.0145721435546875,0.0078125,953.4035890445331,158.90059817408886,0.02466156423036384,0.1689220372812219,0.15704000837482096,0.9296596323710209,0.06124901717113732,0.018496166444408636,0.038362045457343265,0.09699002034957978,0.7566124353830909,0.005235602094240838,2,2,0.6931471605599454,0.5,1.0,0.14240837696335074,0.8575916230366493,1.0,0.0629324251444552,15.890059817408885,0.02617801047120419,3.1780119634817767,0.0,0,1.0
original_4flags,0.30664675823012566,42.429961659239304,1.4658093288516554,12.755461931228638,12.73565673828125,0.019246816635131836,14.973977503110497,14.997263503960971,9923.719003555192,20.71875,19.26664161682129,111.07853403141361,57.55,0.06678252320014993,1.2755461931228638,66.78252320014994,667.8252320014993,0.0145721435546875,0.0078125,898.4386501866298,149.73977503110498,0.020407706500465566,0.14637609107470226,0.14285554417125562,0.9759485539128417,0.08952913243841586,0.019210787339719516,0.044584525085979855,0.11074090073875968,0.2057265204109459,0.005235602094240838,4,4,,,,0.12460732984293199,0.875392670157068,1.0,0.06678252320014993,14.973977503110497,0.02617801047120419,2.9947955006220996,0.0,0,1.0
complete_6flags,0.16819653689471262,29.21369301811643,1.7258936915142118,17.609813451766968,17.594435930252075,0.015377521514892578,10.846225062130632,10.855704653287146,12420.727216347794,11.76953125,19.266572952270508,63.09947643979058,61.699999999999996,0.09219797618726161,1.7609813451766967,92.19797618726162,921.9797618726161,0.0145721435546875,0.0078125,650.7735037278379,108.46225062130631,0.015414064502484465,0.12872097672450578,0.12415339102289742,0.9645155322543937,0.07693418471580987,0.0221573633076623,0.030641219091009583,0.11627296967243204,0.37404337371342844,0.03664921465968586,6,6,,,,0.08534031413612564,0.9146596858638744,1.0,0.09219797618726161,10.846225062130632,0.02617801047120419,2.169245012426126,0.0,0,1.0
baseline_tfidf,0.4108627055237624,109.89599509166152,0.8726063506169343,19.797513246536255,19.77764320373535,0.01987004280090332,9.647676332956468,9.657369082476235,9612.46042164121,5.125,19.266359329223633,27.476439790575917,66.3,0.10365190181432594,1.9797513246536256,103.65190181432594,1036.5190181432595,0.0145721435546875,0.0078125,578.860579977388,96.47676332956468,0.03979582077900513,0.21537759401296197,0.19948889888664262,0.9262286104484516,0.12311751030273954,0.03611914169236861,0.0799888741966562,0.19303752607283073,0.7575176260920107,0.0,1,1,-9.999999889225291e-09,1.0,1.0,0.2712041884816754,0.7287958115183246,1.0,0.10365190181432594,9.647676332956468,0.02617801047120419,1.9295352665912937,0.0,0,1.0
